"DRAFT RACE SCHEDULES, as at 5:24PM on Saturday 19th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Progression
A,08:00,73,Mixed masters D-F double sculls,division,1,""
B,08:05,73,Mixed masters D-F double sculls,division,2,""
C,08:10,73,Mixed masters D-F double sculls,division,3,""
D,08:15,73,Mixed masters D-F double sculls,division,4,""
E,08:20,74,Mens new master double sculls,final,A,""
F,08:25,77,Womens masters B double sculls,final,A,""
F,08:25,79,Womens masters G-M coxless pair,final,A,""
G,08:30,78,Womens masters C coxless quad sculls,final,A,""
H,08:35,76,Womens masters A coxless quad sculls,final,A,""
H,08:35,81,Mens masters A-C coxed eight,final,A,""
I,08:40,80,Mens masters G-M coxless quad sculls,final,A,""
J,09:15,85,Mens masters D double sculls,heat,1,"1-3=F + 2 NF"
K,09:20,85,Mens masters D double sculls,heat,2,"1-3=F + 2 NF"
L,09:25,87,Womens novice master coxed four,final,A,""
L,09:25,88,Womens masters E double sculls,final,A,""
M,09:30,89,Mens masters F single,final,A,""
N,09:35,86,Womens new master double sculls,heat,1,"1-3=F + 2 NF"
O,09:40,86,Womens new master double sculls,heat,2,"1-3=F + 2 NF"
P,09:45,90,Womens masters D coxless pair,final,A,""
Q,09:50,91,Womens masters H-M coxless quad sculls,final,A,""
Q,09:50,92,Mens masters H-M double sculls,final,A,""
R,09:55,93,Womens masters F double sculls,final,A,""
S,10:00,85,Mens masters D double sculls,final,A,""
T,10:05,94,Womens masters G single,final,A,""
U,10:10,95,Mens masters G double sculls,final,A,""
V,10:15,96,Mens masters E coxless quad sculls,final,A,""
W,10:20,97,Mixed masters A-C coxed eight,final,A,""
X,10:25,86,Womens new master double sculls,final,A,""
Y,11:00,101,Mens masters E double sculls,final,A,""
Z,11:05,102,Mixed masters A-C double sculls,division,1,""
A,11:10,102,Mixed masters A-C double sculls,division,2,""
B,11:15,102,Mixed masters A-C double sculls,division,3,""
C,11:20,103,Mens masters D coxless quad sculls,final,A,""
D,11:25,104,Mens masters I single,final,A,""
D,11:25,108,Mens masters H single,final,A,""
E,11:30,106,Mixed new master coxed quad sculls,final,A,""
F,11:35,107,Mixed novice master coxed quad sculls,final,A,""
G,11:40,111,Womens masters D-F coxed eight,final,A,""
H,11:45,109,Mens masters G single,final,A,""
I,11:50,110,Mens masters F coxless quad sculls,final,A,""
J,12:20,115,Womens masters D-F coxless four,final,A,""
K,12:25,116,Womens masters A-C coxless pair,final,A,""
L,12:30,117,Mens masters C double sculls,final,A,""
M,12:35,118,Mens masters D-F coxless four,final,A,""
M,12:35,121,Mixed masters G-M coxed eight,final,A,""
N,12:40,119,Mens masters A double sculls,final,A,""
O,13:10,125,Womens masters D coxless quad sculls,heat,1,"1-3=F + 2 NF"
P,13:15,125,Womens masters D coxless quad sculls,heat,2,"1-3=F + 2 NF"
Q,13:20,126,Mens masters D coxless pair,final,A,""
R,13:25,127,Womens masters A-C coxless four,final,A,""
R,13:25,128,Mens masters A-C coxless four,final,A,""
R,13:25,129,Womens masters G-M coxed eight,final,A,""
S,13:45,125,Womens masters D coxless quad sculls,final,A,""
